"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.02.2010","962,63","915,63","984,88","900,25","","5,15%"
"01.01.2010","915,50","1.048,63","1.074,63","913,88","","-12,75%"
"01.12.2009","1.049,25","1.058,13","1.077,88","992,38","","-0,82%"
"01.11.2009","1.057,88","975,75","1.069,13","952,75","","15,24%"
"01.10.2009","918,00","924,75","932,75","914,75","76,08K","-0,97%"
"01.09.2009","927,00","1.100,00","1.114,25","901,50","895,72K","-15,73%"
"01.08.2009","1.100,00","1.140,50","1.241,25","976,75","123,35K","-3,00%"
"01.07.2009","1.134,00","1.228,00","1.265,50","970,25","293,28K","-7,52%"
"01.06.2009","1.226,25","1.186,00","1.291,25","1.150,50","1,57M","3,57%"
"01.05.2009","1.184,00","1.068,25","1.200,75","1.060,75","830,08K","10,65%"
"01.04.2009","1.070,00","949,00","1.073,00","943,00","1,47M","12,39%"
"01.03.2009","952,00","869,50","981,25","843,00","958,09K","8,86%"
"01.02.2009","874,50","972,50","1.019,00","851,00","1,40M","-10,77%"
"01.01.2009","980,00","965,00","1.046,50","951,25","1,04M","0,80%"
"01.12.2008","972,25","879,25","976,25","776,25","1,40M","10,11%"
"01.11.2008","883,00","922,75","972,00","835,25","671,68K","-4,57%"
"01.10.2008","925,25","1.054,75","1.066,00","825,00","2,16M","-11,46%"
"01.09.2008","1.045,00","1.306,00","1.490,00","1.039,00","1,15M","-21,55%"
"01.08.2008","1.332,00","1.395,00","1.404,50","1.186,25","134,30K","-4,57%"
"01.07.2008","1.395,75","1.604,75","1.663,00","1.354,25","460,78K","-13,04%"
"01.06.2008","1.605,00","1.357,00","1.607,25","1.346,50","1,70M","17,71%"
"01.05.2008","1.363,50","1.305,00","1.402,00","1.226,25","812,77K","4,74%"
"01.04.2008","1.301,75","1.167,00","1.398,00","1.106,50","1,67M","8,73%"
"01.03.2008","1.197,25","1.519,50","1.571,00","1.197,25","1,46M","-21,34%"
"01.02.2008","1.522,00","1.275,25","1.524,00","1.275,25","1,93M","19,42%"
"01.01.2008","1.274,50","1.206,25","1.320,00","1.189,50","1,04M","6,30%"
"01.12.2007","1.199,00","1.083,25","1.230,00","1.068,50","1,41M","11,02%"
"01.11.2007","1.080,00","1.009,50","1.114,00","964,25","882,48K","6,93%"
"01.10.2007","1.010,00","991,50","1.016,50","922,00","1,88M","1,89%"
"01.09.2007","991,25","875,25","1.017,75","872,50","855,95K","14,20%"
"01.08.2007","868,00","834,50","880,50","789,00","205,89K","4,08%"
"01.07.2007","834,00","854,25","915,00","808,75","328,99K","-1,88%"
"01.06.2007","850,00","807,50","878,50","791,75","1,46M","5,43%"
"01.05.2007","806,25","728,50","816,00","722,00","873,41K","10,67%"
"01.04.2007","728,50","756,50","787,00","708,50","1,11M","-4,30%"
"01.03.2007","761,25","773,00","779,00","724,50","763,02K","-1,55%"
"01.02.2007","773,25","719,50","791,00","717,50","1,21M","7,47%"
"01.01.2007","719,50","681,50","732,00","645,50","866,44K","5,27%"
"01.12.2006","683,50","686,00","687,50","642,75","844,61K","-0,29%"
"01.11.2006","685,50","630,00","695,75","628,25","663,91K","8,77%"
"01.10.2006","630,25","547,25","643,00","540,50","1,49M","15,11%"
"01.09.2006","547,50","542,00","561,75","526,50","665,05K","0,97%"
"01.08.2006","542,25","578,00","587,00","535,50","200,97K","-6,43%"
"01.07.2006","579,50","602,50","612,50","571,00","284,92K","-2,56%"
"01.06.2006","594,75","580,25","611,00","566,50","1,09M","2,63%"
"01.05.2006","579,50","585,00","617,00","577,50","634,30K","-1,32%"
"01.04.2006","587,25","570,50","598,00","553,25","785,56K","2,76%"
"01.03.2006","571,50","580,00","594,00","570,00","609,00K","-1,51%"
"01.02.2006","580,25","593,00","604,50","568,00","851,04K","-2,36%"
"01.01.2006","594,25","608,00","622,00","561,00","579,08K","-1,29%"
"01.12.2005","602,00","558,00","619,50","553,50","881,11K","7,89%"
"01.11.2005","558,00","565,00","602,75","544,25","519,42K","-1,20%"
"01.10.2005","564,75","572,75","599,50","554,00","1,00M","-1,48%"
"01.09.2005","573,25","589,00","607,50","556,50","483,56K","-2,30%"
"01.08.2005","586,75","678,00","694,00","584,00","157,97K","-12,65%"
"01.07.2005","671,75","656,50","738,00","655,75","260,19K","3,07%"
"01.06.2005","651,75","676,75","757,50","647,00","976,49K","-4,19%"
"01.05.2005","680,25","615,00","687,00","602,00","589,60K","9,85%"
"01.04.2005","619,25","630,00","649,50","602,00","621,21K","-1,31%"
"01.03.2005","627,50","611,00","691,75","601,50","639,93K","1,95%"
"01.02.2005","615,50","515,25","618,50","498,50","724,30K","19,57%"
"01.01.2005","514,75","546,00","563,00","509,00","452,53K","-6,02%"
"01.12.2004","547,75","534,75","566,00","517,50","636,06K","2,43%"
"01.11.2004","534,75","525,00","562,00","501,00","507,17K","1,37%"
"01.10.2004","527,50","527,75","545,00","506,00","867,13K","0,09%"
"01.09.2004","527,00","625,00","648,50","521,50","417,18K","-15,98%"
"01.08.2004","627,25","591,00","712,00","565,00","85,40K","4,63%"
"01.07.2004","599,50","892,00","1.035,00","599,00","250,91K","-32,87%"
"01.06.2004","893,00","828,00","940,00","0,00","656,34K","9,71%"
"01.05.2004","814,00","1.036,00","1.063,00","812,00","542,53K","-21,28%"
"01.04.2004","1.034,00","1.000,00","1.064,00","926,00","625,50K","3,92%"
"01.03.2004","995,00","943,75","1.063,75","903,00","613,15K","5,57%"
"01.02.2004","942,50","813,00","951,50","790,50","611,28K","15,01%"
"01.01.2004","819,50","788,50","855,00","782,50","528,47K","3,87%"
"01.12.2003","789,00","759,00","794,00","728,00","609,04K","4,33%"
"01.11.2003","756,25","795,00","803,50","730,75","465,34K","-4,78%"
"01.10.2003","794,25","677,25","803,50","669,00","1,14M","17,28%"
"01.09.2003","677,25","582,00","691,00","575,50","577,43K","13,82%"
"01.08.2003","595,00","533,00","597,75","533,00","86,64K","11,74%"
"01.07.2003","532,50","622,00","633,50","532,00","254,79K","-14,29%"
"01.06.2003","621,25","620,50","645,00","610,00","706,80K","-0,52%"
"01.05.2003","624,50","620,75","658,00","613,50","499,29K","0,16%"
"01.04.2003","623,50","575,00","631,50","573,00","656,65K","8,53%"
"01.03.2003","574,50","576,75","581,50","559,75","342,79K","-0,43%"
"01.02.2003","577,00","562,00","584,50","554,25","516,91K","2,30%"
"01.01.2003","564,00","570,00","592,50","544,75","439,12K","-0,97%"
"01.12.2002","569,50","579,50","587,50","552,25","619,86K","-1,60%"
"01.11.2002","578,75","565,00","585,00","560,25","365,01K","2,39%"
"01.10.2002","565,25","545,75","567,25","522,00","853,99K","3,57%"
"01.09.2002","545,75","566,75","594,00","544,75","399,57K","-2,37%"
"01.08.2002","559,00","572,50","625,00","540,00","128,56K","-1,50%"
"01.07.2002","567,50","537,00","605,00","532,00","265,24K","5,78%"
"01.06.2002","536,50","506,75","543,00","487,00","643,22K","5,45%"
"01.05.2002","508,75","462,00","510,75","453,50","447,81K","10,06%"
"01.04.2002","462,25","475,00","480,75","453,00","493,54K","-2,94%"
"01.03.2002","476,25","437,75","480,50","435,00","373,80K","9,29%"
"01.02.2002","435,75","430,25","447,00","425,25","443,96K","1,28%"
"01.01.2002","430,25","421,75","454,50","415,50","419,15K","2,20%"
"01.12.2001","421,00","444,00","448,75","0,00","488,15K","-5,29%"
"01.11.2001","444,50","428,00","454,60","428,00","386,64K","3,73%"
"01.10.2001","428,50","451,00","458,00","419,75","765,10K","-5,04%"
"01.09.2001","451,25","476,50","483,50","450,50","289,07K","-5,89%"
"01.08.2001","479,50","513,00","525,00","471,00","110,54K","-6,48%"
"01.07.2001","512,75","479,00","538,00","479,00","210,82K","6,27%"
"01.06.2001","482,50","450,50","488,00","448,75","559,70K","6,98%"
"01.05.2001","451,00","433,00","464,00","431,75","360,33K","3,86%"
"01.04.2001","434,25","432,75","444,00","421,50","299,92K","1,34%"
"01.03.2001","428,50","453,00","463,50","428,00","283,16K","-5,51%"
"01.02.2001","453,50","459,00","469,50","447,00","405,81K","-1,31%"
"01.01.2001","459,50","500,00","500,00","456,25","363,03K","-8,01%"
"01.12.2000","499,50","506,50","514,00","496,00","465,05K","-1,28%"
"01.11.2000","506,00","459,75","509,50","459,00","390,71K","10,06%"
"01.10.2000","459,75","488,25","493,50","453,50","721,06K","-6,27%"
"01.09.2000","490,50","492,75","504,00","478,50","377,76K","-0,86%"
"01.08.2000","494,75","445,25","495,00","433,50","73,14K","10,93%"
"01.07.2000","446,00","452,00","466,00","441,00","83,72K","-6,60%"
"01.06.2000","477,50","523,50","542,00","477,00","581,37K","-7,73%"
"01.05.2000","517,50","533,00","570,50","512,25","514,31K","-1,71%"
"01.04.2000","526,50","544,00","554,00","522,50","438,79K","-3,48%"
"01.03.2000","545,50","501,50","548,50","492,50","453,72K","8,83%"
"01.02.2000","501,25","508,00","519,50","492,00","575,38K","-1,33%"
"01.01.2000","508,00","461,00","529,50","455,75","439,08K","10,02%"
