Data;Dolar,
09/04/2019;3,8563
10/04/2019;3,8345
11/04/2019;3,8399
12/04/2019;3,8685
15/04/2019;3,8730
16/04/2019;3,8913
17/04/2019;3,9225
18/04/2019;3,9370
22/04/2019;3,9230
23/04/2019;3,9436
24/04/2019;3,9630
25/04/2019;3,9725
26/04/2019;3,9353
29/04/2019;3,9364
30/04/2019;3,9453
02/05/2019;3,9650
03/05/2019;3,9388
06/05/2019;3,9624
07/05/2019;3,9880
08/05/2019;3,9344
09/05/2019;3,9673
10/05/2019;3,9578
13/05/2019;3,9890
14/05/2019;3,9788
15/05/2019;4,31
16/05/2019;4,138
17/05/2019;4,844
20/05/2019;4,1056
21/05/2019;4,810
22/05/2019;4,228
23/05/2019;4,513
24/05/2019;4,322
27/05/2019;4,210
28/05/2019;4,275
29/05/2019;3,9965
30/05/2019;3,9720
31/05/2019;3,9407
03/06/2019;3,9003
04/06/2019;3,8710
05/06/2019;3,8611
06/06/2019;3,8726
07/06/2019;3,8571
10/06/2019;3,8790
11/06/2019;3,8664
12/06/2019;3,8437
13/06/2019;3,8429
14/06/2019;3,8813
17/06/2019;3,8895
18/06/2019;3,8608
19/06/2019;3,8723
21/06/2019;3,8255
24/06/2019;3,8234
25/06/2019;3,8303
26/06/2019;3,8441
27/06/2019;3,8642
28/06/2019;3,8322
01/07/2019;3,8193
02/07/2019;3,8564
03/07/2019;3,8475
04/07/2019;3,7940
05/07/2019;3,8204
08/07/2019;3,8065
09/07/2019;3,7858
10/07/2019;3,7697
11/07/2019;3,7533
12/07/2019;3,7452
15/07/2019;3,7463
16/07/2019;3,7624
17/07/2019;3,7618
18/07/2019;3,7489
19/07/2019;3,7408
22/07/2019;3,7400
23/07/2019;3,7621
24/07/2019;3,7596
25/07/2019;3,7849
26/07/2019;3,7741
29/07/2019;3,7909
30/07/2019;3,7900
31/07/2019;3,7649
01/08/2019;3,8296
02/08/2019;3,8739
05/08/2019;3,9404
06/08/2019;3,9643
07/08/2019;3,9850
08/08/2019;3,9409
09/08/2019;3,9362
12/08/2019;3,9966
13/08/2019;3,9736
14/08/2019;4,74
15/08/2019;4,188
16/08/2019;3,9933
19/08/2019;4,274
20/08/2019;4,425
21/08/2019;4,254
22/08/2019;4,444
23/08/2019;4,851
26/08/2019;4,1367
27/08/2019;4,1557
28/08/2019;4,1559
29/08/2019;4,1680
30/08/2019;4,1385
02/09/2019;4,1581
03/09/2019;4,1657
04/09/2019;4,1249
05/09/2019;4,859
06/09/2019;4,650
09/09/2019;4,766
10/09/2019;4,1108
11/09/2019;4,631
12/09/2019;4,494
13/09/2019;4,616
16/09/2019;4,872
17/09/2019;4,998
18/09/2019;4,972
19/09/2019;4,1393
20/09/2019;4,1687
23/09/2019;4,1734
24/09/2019;4,1721
25/09/2019;4,1827
26/09/2019;4,1469
27/09/2019;4,1587
30/09/2019;4,1644
01/10/2019;4,1740
02/10/2019;4,1546
03/10/2019;4,1012
04/10/2019;4,610
07/10/2019;4,688
08/10/2019;4,868
09/10/2019;4,954
10/10/2019;4,1145
11/10/2019;4,1060
14/10/2019;4,1263
15/10/2019;4,1488
16/10/2019;4,1714
17/10/2019;4,1457
18/10/2019;4,1376
21/10/2019;4,1319
22/10/2019;4,858
23/10/2019;4,721
24/10/2019;4,89
25/10/2019;4,133
28/10/2019;3,9793
29/10/2019;3,9946
30/10/2019;4,186
31/10/2019;4,41
01/11/2019;3,9786
04/11/2019;3,9922
05/11/2019;4,43
06/11/2019;4,351
07/11/2019;4,927
08/11/2019;4,1365
11/11/2019;4,1559
12/11/2019;4,1756
13/11/2019;4,1767
14/11/2019;4,1831
18/11/2019;4,1827
19/11/2019;4,2084
20/11/2019;4,2037
21/11/2019;4,2012
22/11/2019;4,1832
25/11/2019;4,2089
26/11/2019;4,2559
27/11/2019;4,2602
28/11/2019;4,2480
29/11/2019;4,2240
02/12/2019;4,2261
03/12/2019;4,2008
04/12/2019;4,1926
05/12/2019;4,2136
06/12/2019;4,1783
09/12/2019;4,1503
10/12/2019;4,1427
11/12/2019;4,1153
12/12/2019;4,1092
13/12/2019;4,949
16/12/2019;4,801
17/12/2019;4,687
18/12/2019;4,548
19/12/2019;4,633
20/12/2019;4,777
23/12/2019;4,757
24/12/2019;4,813
26/12/2019;4,601
27/12/2019;4,545
30/12/2019;4,307
31/12/2019;4,307
02/01/2020;4,213
03/01/2020;4,522
06/01/2020;4,554
07/01/2020;4,841
08/01/2020;4,672
09/01/2020;4,744
10/01/2020;4,745
13/01/2020;4,1309
14/01/2020;4,1443
15/01/2020;4,1622
16/01/2020;4,1726
17/01/2020;4,1837
20/01/2020;4,1829
21/01/2020;4,2014
22/01/2020;4,1889
23/01/2020;4,1662
24/01/2020;4,1769
27/01/2020;4,2196
28/01/2020;4,2064
29/01/2020;4,2013
30/01/2020;4,2523
31/01/2020;4,2695
03/02/2020;4,2475
04/02/2020;4,2381
05/02/2020;4,2449
06/02/2020;4,2477
07/02/2020;4,3076
10/02/2020;4,3195
11/02/2020;4,3148
12/02/2020;4,3366
13/02/2020;4,3389
14/02/2020;4,3163
17/02/2020;4,3157
18/02/2020;4,3471
19/02/2020;4,3728
20/02/2020;4,3873
21/02/2020;4,3924
26/02/2020;4,4359
27/02/2020;4,4764
28/02/2020;4,4987
02/03/2020;4,4946
03/03/2020;4,4883
04/03/2020;4,5258
05/03/2020;4,6207
06/03/2020;4,6459
09/03/2020;4,7379
10/03/2020;4,6693
11/03/2020;4,6738
12/03/2020;4,8833
13/03/2020;4,7362
16/03/2020;4,9471
17/03/2020;5,496
18/03/2020;5,1107
19/03/2020;5,1444
20/03/2020;5,248
23/03/2020;5,805
24/03/2020;5,713
25/03/2020;5,706
26/03/2020;5,10
27/03/2020;5,1109
30/03/2020;5,1594
31/03/2020;5,1987
01/04/2020;5,2404
02/04/2020;5,2651
03/04/2020;5,2997
06/04/2020;5,2471
07/04/2020;5,2217
08/04/2020;5,2123
09/04/2020;5,779
13/04/2020;5,1824
14/04/2020;5,1858
15/04/2020;5,2579
16/04/2020;5,2377
17/04/2020;5,2573
20/04/2020;5,2837
22/04/2020;5,3847
23/04/2020;5,4467
24/04/2020;5,6510
27/04/2020;5,6358
28/04/2020;5,5683
29/04/2020;5,4291
30/04/2020;5,4270
04/05/2020;5,5816
05/05/2020;5,5354
06/05/2020;5,6676
07/05/2020;5,8365
08/05/2020;5,7653
11/05/2020;5,7954
12/05/2020;5,7723
13/05/2020;5,9022
14/05/2020;5,9372
15/05/2020;5,8229
18/05/2020;5,7375
19/05/2020;5,7216
20/05/2020;5,6968
21/05/2020;5,6019
22/05/2020;5,5808
25/05/2020;5,4772
26/05/2020;5,3707
27/05/2020;5,2992
28/05/2020;5,3405
29/05/2020;5,4263
01/06/2020;5,3639
02/06/2020;5,2601
03/06/2020;5,516
04/06/2020;5,1041
05/06/2020;4,9775
08/06/2020;4,9331
09/06/2020;4,9057
10/06/2020;4,8894
12/06/2020;5,373
15/06/2020;5,1883
16/06/2020;5,1285
17/06/2020;5,2499
18/06/2020;5,3468
19/06/2020;5,3466
22/06/2020;5,2226
23/06/2020;5,1705
24/06/2020;5,2435
25/06/2020;5,3287
26/06/2020;5,4629
29/06/2020;5,4416
30/06/2020;5,4760
01/07/2020;5,3651
02/07/2020;5,3028
03/07/2020;5,3374
06/07/2020;5,3085
07/07/2020;5,3318
08/07/2020;5,3482
09/07/2020;5,2978
10/07/2020;5,3440
13/07/2020;5,3486
14/07/2020;5,4288
15/07/2020;5,3491
16/07/2020;5,3560
17/07/2020;5,3510
20/07/2020;5,3635
21/07/2020;5,2283
22/07/2020;5,1111
23/07/2020;5,1647
24/07/2020;5,2146
27/07/2020;5,1889
28/07/2020;5,1777
29/07/2020;5,1395
30/07/2020;5,1837
31/07/2020;5,2033
03/08/2020;5,3075
04/08/2020;5,3329
05/08/2020;5,2760
06/08/2020;5,3431
07/08/2020;5,4227
10/08/2020;5,3933
11/08/2020;5,4285
12/08/2020;5,4551
13/08/2020;5,3801
14/08/2020;5,3852
17/08/2020;5,4497
18/08/2020;5,4659
19/08/2020;5,4906
20/08/2020;5,6510
21/08/2020;5,6064
24/08/2020;5,5954
25/08/2020;5,5997
26/08/2020;5,5680
27/08/2020;5,5956
28/08/2020;5,4679
31/08/2020;5,4713
01/09/2020;5,3732
02/09/2020;5,3741
03/09/2020;5,3079
04/09/2020;5,2848
