"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2025","904.00","904.00","904.00","904.00","","7.49%"
"02/18/2025","841.00","841.00","841.00","841.00","","4.34%"
"02/17/2025","806.00","806.00","806.00","806.00","","1.77%"
"02/14/2025","792.00","792.00","792.00","792.00","","1.54%"
"02/13/2025","780.00","780.00","780.00","780.00","","0.52%"
"02/12/2025","776.00","776.00","776.00","776.00","","-3.12%"
"02/11/2025","801.00","801.00","801.00","801.00","","-0.99%"
"02/10/2025","809.00","809.00","809.00","809.00","","-0.74%"
"02/07/2025","815.00","815.00","815.00","815.00","","2.77%"
"02/06/2025","793.00","793.00","793.00","793.00","","2.85%"
"02/05/2025","771.00","771.00","771.00","771.00","","2.39%"
"02/04/2025","753.00","753.00","753.00","753.00","","2.03%"
"02/03/2025","738.00","738.00","738.00","738.00","","0.41%"
"01/31/2025","735.00","735.00","735.00","735.00","","2.80%"
"01/30/2025","715.00","715.00","715.00","715.00","","-1.52%"
"01/29/2025","726.00","726.00","726.00","726.00","","-2.68%"
"01/28/2025","746.00","746.00","746.00","746.00","","-1.97%"
"01/27/2025","761.00","761.00","761.00","761.00","","-2.19%"
"01/24/2025","778.00","778.00","778.00","778.00","","-5.58%"
"01/23/2025","824.00","824.00","824.00","824.00","","-7.73%"
"01/22/2025","893.00","893.00","893.00","893.00","","-3.77%"
"01/21/2025","928.00","928.00","928.00","928.00","","-3.03%"
"01/20/2025","957.00","957.00","957.00","957.00","","-3.04%"
"01/17/2025","987.00","987.00","987.00","987.00","","-3.52%"
"01/16/2025","1,023.00","1,023.00","1,023.00","1,023.00","","-3.76%"
"01/15/2025","1,063.00","1,063.00","1,063.00","1,063.00","","-1.57%"
"01/14/2025","1,080.00","1,080.00","1,080.00","1,080.00","","-1.19%"
"01/13/2025","1,093.00","1,093.00","1,093.00","1,093.00","","4.29%"
"01/10/2025","1,048.00","1,048.00","1,048.00","1,048.00","","8.15%"
"01/09/2025","969.00","969.00","969.00","969.00","","0.31%"
"01/08/2025","966.00","966.00","966.00","966.00","","-4.83%"
"01/07/2025","1,015.00","1,015.00","1,015.00","1,015.00","","-2.68%"
"01/06/2025","1,043.00","1,043.00","1,043.00","1,043.00","","-2.71%"
"01/03/2025","1,072.00","1,072.00","1,072.00","1,072.00","","4.18%"
"01/02/2025","1,029.00","1,029.00","1,029.00","1,029.00","","3.21%"
"12/24/2024","997.00","997.00","997.00","997.00","","0.30%"
"12/23/2024","994.00","994.00","994.00","994.00","","0.40%"
"12/20/2024","990.00","990.00","990.00","990.00","","1.43%"
"12/19/2024","976.00","976.00","976.00","976.00","","-5.06%"
"12/18/2024","1,028.00","1,028.00","1,028.00","1,028.00","","-2.37%"
"12/17/2024","1,053.00","1,053.00","1,053.00","1,053.00","","-1.68%"
"12/16/2024","1,071.00","1,071.00","1,071.00","1,071.00","","1.90%"
"12/13/2024","1,051.00","1,051.00","1,051.00","1,051.00","","-0.38%"
"12/12/2024","1,055.00","1,055.00","1,055.00","1,055.00","","-4.61%"
"12/11/2024","1,106.00","1,106.00","1,106.00","1,106.00","","-4.33%"
"12/10/2024","1,156.00","1,156.00","1,156.00","1,156.00","","-1.03%"
"12/09/2024","1,168.00","1,168.00","1,168.00","1,168.00","","0.09%"
"12/06/2024","1,167.00","1,167.00","1,167.00","1,167.00","","0.60%"
"12/05/2024","1,160.00","1,160.00","1,160.00","1,160.00","","-1.69%"
"12/04/2024","1,180.00","1,180.00","1,180.00","1,180.00","","-4.61%"
"12/03/2024","1,237.00","1,237.00","1,237.00","1,237.00","","-4.70%"
"12/02/2024","1,298.00","1,298.00","1,298.00","1,298.00","","-4.14%"
"11/29/2024","1,354.00","1,354.00","1,354.00","1,354.00","","-4.58%"
"11/28/2024","1,419.00","1,419.00","1,419.00","1,419.00","","-5.96%"
"11/27/2024","1,509.00","1,509.00","1,509.00","1,509.00","","-4.55%"
"11/26/2024","1,581.00","1,581.00","1,581.00","1,581.00","","3.40%"
"11/25/2024","1,529.00","1,529.00","1,529.00","1,529.00","","-0.52%"
"11/22/2024","1,537.00","1,537.00","1,537.00","1,537.00","","-2.47%"
"11/21/2024","1,576.00","1,576.00","1,576.00","1,576.00","","-2.48%"
"11/20/2024","1,616.00","1,616.00","1,616.00","1,616.00","","-0.68%"
"11/19/2024","1,627.00","1,627.00","1,627.00","1,627.00","","-7.35%"
"11/18/2024","1,756.00","1,756.00","1,756.00","1,756.00","","-1.62%"
"11/15/2024","1,785.00","1,785.00","1,785.00","1,785.00","","5.50%"
"11/14/2024","1,692.00","1,692.00","1,692.00","1,692.00","","3.80%"
"11/13/2024","1,630.00","1,630.00","1,630.00","1,630.00","","-0.24%"
"11/12/2024","1,634.00","1,634.00","1,634.00","1,634.00","","4.88%"
"11/11/2024","1,558.00","1,558.00","1,558.00","1,558.00","","4.21%"
"11/08/2024","1,495.00","1,495.00","1,495.00","1,495.00","","3.03%"
"11/07/2024","1,451.00","1,451.00","1,451.00","1,451.00","","1.68%"
"11/06/2024","1,427.00","1,427.00","1,427.00","1,427.00","","1.57%"
"11/05/2024","1,405.00","1,405.00","1,405.00","1,405.00","","2.26%"
"11/04/2024","1,374.00","1,374.00","1,374.00","1,374.00","","-0.29%"
"11/01/2024","1,378.00","1,378.00","1,378.00","1,378.00","","-0.72%"
"10/31/2024","1,388.00","1,388.00","1,388.00","1,388.00","","-0.50%"
"10/30/2024","1,395.00","1,395.00","1,395.00","1,395.00","","-0.50%"
"10/29/2024","1,402.00","1,402.00","1,402.00","1,402.00","","1.45%"
"10/28/2024","1,382.00","1,382.00","1,382.00","1,382.00","","-1.99%"
"10/25/2024","1,410.00","1,410.00","1,410.00","1,410.00","","-0.49%"
"10/24/2024","1,417.00","1,417.00","1,417.00","1,417.00","","-1.94%"
"10/23/2024","1,445.00","1,445.00","1,445.00","1,445.00","","-2.36%"
"10/22/2024","1,480.00","1,480.00","1,480.00","1,480.00","","-4.27%"
"10/21/2024","1,546.00","1,546.00","1,546.00","1,546.00","","-1.90%"
"10/18/2024","1,576.00","1,576.00","1,576.00","1,576.00","","-1.13%"
"10/17/2024","1,594.00","1,594.00","1,594.00","1,594.00","","-4.89%"
"10/16/2024","1,676.00","1,676.00","1,676.00","1,676.00","","-5.10%"
"10/15/2024","1,766.00","1,766.00","1,766.00","1,766.00","","-2.65%"
"10/14/2024","1,814.00","1,814.00","1,814.00","1,814.00","","0.28%"
"10/11/2024","1,809.00","1,809.00","1,809.00","1,809.00","","1.06%"
"10/10/2024","1,790.00","1,790.00","1,790.00","1,790.00","","-0.50%"
"10/09/2024","1,799.00","1,799.00","1,799.00","1,799.00","","-3.28%"
"10/08/2024","1,860.00","1,860.00","1,860.00","1,860.00","","-2.46%"
"10/07/2024","1,907.00","1,907.00","1,907.00","1,907.00","","-1.09%"
"10/04/2024","1,928.00","1,928.00","1,928.00","1,928.00","","-0.67%"
"10/03/2024","1,941.00","1,941.00","1,941.00","1,941.00","","-1.87%"
"10/02/2024","1,978.00","1,978.00","1,978.00","1,978.00","","-2.56%"
"10/01/2024","2,030.00","2,030.00","2,030.00","2,030.00","","-2.59%"
"09/30/2024","2,084.00","2,084.00","2,084.00","2,084.00","","-1.23%"
"09/27/2024","2,110.00","2,110.00","2,110.00","2,110.00","","0.91%"
"09/26/2024","2,091.00","2,091.00","2,091.00","2,091.00","","3.72%"
"09/25/2024","2,016.00","2,016.00","2,016.00","2,016.00","","0.10%"
"09/24/2024","2,014.00","2,014.00","2,014.00","2,014.00","","0.75%"
"09/23/2024","1,999.00","1,999.00","1,999.00","1,999.00","","1.11%"
"09/20/2024","1,977.00","1,977.00","1,977.00","1,977.00","","0.05%"
"09/19/2024","1,976.00","1,976.00","1,976.00","1,976.00","","4.55%"
"09/18/2024","1,890.00","1,890.00","1,890.00","1,890.00","","-0.58%"
"09/17/2024","1,901.00","1,901.00","1,901.00","1,901.00","","0.26%"
"09/16/2024","1,896.00","1,896.00","1,896.00","1,896.00","","0.32%"
"09/13/2024","1,890.00","1,890.00","1,890.00","1,890.00","","-1.92%"
"09/12/2024","1,927.00","1,927.00","1,927.00","1,927.00","","-1.83%"
"09/11/2024","1,963.00","1,963.00","1,963.00","1,963.00","","1.13%"
"09/10/2024","1,941.00","1,941.00","1,941.00","1,941.00","","-0.87%"
"09/09/2024","1,958.00","1,958.00","1,958.00","1,958.00","","0.88%"
"09/06/2024","1,941.00","1,941.00","1,941.00","1,941.00","","1.15%"
"09/05/2024","1,919.00","1,919.00","1,919.00","1,919.00","","0.89%"
"09/04/2024","1,902.00","1,902.00","1,902.00","1,902.00","","-2.31%"
"09/03/2024","1,947.00","1,947.00","1,947.00","1,947.00","","1.46%"
"09/02/2024","1,919.00","1,919.00","1,919.00","1,919.00","","5.79%"
"08/30/2024","1,814.00","1,814.00","1,814.00","1,814.00","","-0.71%"
"08/29/2024","1,827.00","1,827.00","1,827.00","1,827.00","","4.10%"
"08/28/2024","1,755.00","1,755.00","1,755.00","1,755.00","","1.98%"
"08/27/2024","1,721.00","1,721.00","1,721.00","1,721.00","","-2.33%"
"08/23/2024","1,762.00","1,762.00","1,762.00","1,762.00","","-0.34%"
"08/22/2024","1,768.00","1,768.00","1,768.00","1,768.00","","0.51%"
"08/21/2024","1,759.00","1,759.00","1,759.00","1,759.00","","1.38%"
"08/20/2024","1,735.00","1,735.00","1,735.00","1,735.00","","1.58%"
"08/19/2024","1,708.00","1,708.00","1,708.00","1,708.00","","1.01%"
"08/16/2024","1,691.00","1,691.00","1,691.00","1,691.00","","-0.06%"
"08/15/2024","1,692.00","1,692.00","1,692.00","1,692.00","","-2.08%"
"08/14/2024","1,728.00","1,728.00","1,728.00","1,728.00","","3.47%"
"08/13/2024","1,670.00","1,670.00","1,670.00","1,670.00","","0.91%"
"08/12/2024","1,655.00","1,655.00","1,655.00","1,655.00","","-0.90%"
"08/09/2024","1,670.00","1,670.00","1,670.00","1,670.00","","-0.77%"
"08/08/2024","1,683.00","1,683.00","1,683.00","1,683.00","","-0.88%"
"08/07/2024","1,698.00","1,698.00","1,698.00","1,698.00","","0.77%"
"08/06/2024","1,685.00","1,685.00","1,685.00","1,685.00","","0.48%"
"08/05/2024","1,677.00","1,677.00","1,677.00","1,677.00","","0.12%"
"08/02/2024","1,675.00","1,675.00","1,675.00","1,675.00","","0.42%"
"08/01/2024","1,668.00","1,668.00","1,668.00","1,668.00","","-2.34%"
"07/31/2024","1,708.00","1,708.00","1,708.00","1,708.00","","-3.06%"
"07/30/2024","1,762.00","1,762.00","1,762.00","1,762.00","","-1.95%"
"07/29/2024","1,797.00","1,797.00","1,797.00","1,797.00","","-0.61%"
"07/26/2024","1,808.00","1,808.00","1,808.00","1,808.00","","-1.42%"
"07/25/2024","1,834.00","1,834.00","1,834.00","1,834.00","","-1.61%"
"07/24/2024","1,864.00","1,864.00","1,864.00","1,864.00","","-0.27%"
"07/23/2024","1,869.00","1,869.00","1,869.00","1,869.00","","-1.42%"
"07/22/2024","1,896.00","1,896.00","1,896.00","1,896.00","","-0.32%"
"07/19/2024","1,902.00","1,902.00","1,902.00","1,902.00","","-0.52%"
"07/18/2024","1,912.00","1,912.00","1,912.00","1,912.00","","1.16%"
"07/17/2024","1,890.00","1,890.00","1,890.00","1,890.00","","-2.68%"
"07/16/2024","1,942.00","1,942.00","1,942.00","1,942.00","","-2.56%"
"07/15/2024","1,993.00","1,993.00","1,993.00","1,993.00","","-0.20%"
"07/12/2024","1,997.00","1,997.00","1,997.00","1,997.00","","2.57%"
"07/11/2024","1,947.00","1,947.00","1,947.00","1,947.00","","0.41%"
"07/10/2024","1,939.00","1,939.00","1,939.00","1,939.00","","2.38%"
"07/09/2024","1,894.00","1,894.00","1,894.00","1,894.00","","-2.37%"
"07/08/2024","1,940.00","1,940.00","1,940.00","1,940.00","","-1.32%"
"07/05/2024","1,966.00","1,966.00","1,966.00","1,966.00","","-2.72%"
"07/04/2024","2,021.00","2,021.00","2,021.00","2,021.00","","-2.08%"
"07/03/2024","2,064.00","2,064.00","2,064.00","2,064.00","","-5.28%"
"07/02/2024","2,179.00","2,179.00","2,179.00","2,179.00","","0.97%"
"07/01/2024","2,158.00","2,158.00","2,158.00","2,158.00","","5.27%"
"06/28/2024","2,050.00","2,050.00","2,050.00","2,050.00","","0.94%"
"06/27/2024","2,031.00","2,031.00","2,031.00","2,031.00","","3.41%"
"06/26/2024","1,964.00","1,964.00","1,964.00","1,964.00","","1.97%"
"06/25/2024","1,926.00","1,926.00","1,926.00","1,926.00","","-2.38%"
"06/24/2024","1,973.00","1,973.00","1,973.00","1,973.00","","-1.20%"
"06/21/2024","1,997.00","1,997.00","1,997.00","1,997.00","","0.66%"
"06/20/2024","1,984.00","1,984.00","1,984.00","1,984.00","","2.11%"
"06/19/2024","1,943.00","1,943.00","1,943.00","1,943.00","","-0.92%"
"06/18/2024","1,961.00","1,961.00","1,961.00","1,961.00","","0.67%"
"06/17/2024","1,948.00","1,948.00","1,948.00","1,948.00","","0.00%"
"06/14/2024","1,948.00","1,948.00","1,948.00","1,948.00","","0.31%"
"06/13/2024","1,942.00","1,942.00","1,942.00","1,942.00","","5.77%"
"06/12/2024","1,836.00","1,836.00","1,836.00","1,836.00","","0.27%"
"06/11/2024","1,831.00","1,831.00","1,831.00","1,831.00","","-2.76%"
"06/10/2024","1,883.00","1,883.00","1,883.00","1,883.00","","0.11%"
"06/07/2024","1,881.00","1,881.00","1,881.00","1,881.00","","0.64%"
"06/06/2024","1,869.00","1,869.00","1,869.00","1,869.00","","0.92%"
"06/05/2024","1,852.00","1,852.00","1,852.00","1,852.00","","2.15%"
"06/04/2024","1,813.00","1,813.00","1,813.00","1,813.00","","0.28%"
"06/03/2024","1,808.00","1,808.00","1,808.00","1,808.00","","-0.39%"
"05/31/2024","1,815.00","1,815.00","1,815.00","1,815.00","","0.78%"
"05/30/2024","1,801.00","1,801.00","1,801.00","1,801.00","","0.61%"
"05/29/2024","1,790.00","1,790.00","1,790.00","1,790.00","","0.34%"
"05/28/2024","1,784.00","1,784.00","1,784.00","1,784.00","","-0.72%"
"05/24/2024","1,797.00","1,797.00","1,797.00","1,797.00","","0.06%"
"05/23/2024","1,796.00","1,796.00","1,796.00","1,796.00","","-0.44%"
"05/22/2024","1,804.00","1,804.00","1,804.00","1,804.00","","-1.37%"
"05/21/2024","1,829.00","1,829.00","1,829.00","1,829.00","","-0.97%"
"05/20/2024","1,847.00","1,847.00","1,847.00","1,847.00","","0.16%"
"05/17/2024","1,844.00","1,844.00","1,844.00","1,844.00","","1.49%"
"05/16/2024","1,817.00","1,817.00","1,817.00","1,817.00","","-3.81%"
"05/15/2024","1,889.00","1,889.00","1,889.00","1,889.00","","-5.22%"
"05/14/2024","1,993.00","1,993.00","1,993.00","1,993.00","","-3.53%"
"05/13/2024","2,066.00","2,066.00","2,066.00","2,066.00","","-2.96%"
"05/10/2024","2,129.00","2,129.00","2,129.00","2,129.00","","-1.71%"
"05/09/2024","2,166.00","2,166.00","2,166.00","2,166.00","","-1.68%"
"05/08/2024","2,203.00","2,203.00","2,203.00","2,203.00","","5.76%"
"05/07/2024","2,083.00","2,083.00","2,083.00","2,083.00","","11.03%"
"05/03/2024","1,876.00","1,876.00","1,876.00","1,876.00","","5.75%"
"05/02/2024","1,774.00","1,774.00","1,774.00","1,774.00","","5.09%"
"05/01/2024","1,688.00","1,688.00","1,688.00","1,688.00","","0.18%"
"04/30/2024","1,685.00","1,685.00","1,685.00","1,685.00","","0.06%"
"04/29/2024","1,684.00","1,684.00","1,684.00","1,684.00","","-2.15%"
"04/26/2024","1,721.00","1,721.00","1,721.00","1,721.00","","-1.26%"
"04/25/2024","1,743.00","1,743.00","1,743.00","1,743.00","","-1.75%"
"04/24/2024","1,774.00","1,774.00","1,774.00","1,774.00","","-1.66%"
"04/23/2024","1,804.00","1,804.00","1,804.00","1,804.00","","-4.14%"
"04/22/2024","1,882.00","1,882.00","1,882.00","1,882.00","","-1.93%"
"04/19/2024","1,919.00","1,919.00","1,919.00","1,919.00","","0.95%"
"04/18/2024","1,901.00","1,901.00","1,901.00","1,901.00","","3.09%"
