Data;Selic - % a.d.,
24/03/2020;0,14227
25/03/2020;0,14227
26/03/2020;0,14227
27/03/2020;0,14227
30/03/2020;0,14227
31/03/2020;0,14227
01/04/2020;0,14227
02/04/2020;0,14227
03/04/2020;0,14227
06/04/2020;0,14227
07/04/2020;0,14227
08/04/2020;0,14227
09/04/2020;0,14227
13/04/2020;0,14227
14/04/2020;0,14227
15/04/2020;0,14227
16/04/2020;0,14227
17/04/2020;0,14227
20/04/2020;0,14227
22/04/2020;0,14227
23/04/2020;0,14227
24/04/2020;0,14227
27/04/2020;0,14227
28/04/2020;0,14227
29/04/2020;0,14227
30/04/2020;0,14227
04/05/2020;0,14227
05/05/2020;0,14227
06/05/2020;0,14227
07/05/2020;0,11345
08/05/2020;0,11345
11/05/2020;0,11345
12/05/2020;0,11345
13/05/2020;0,11345
14/05/2020;0,11345
15/05/2020;0,11345
18/05/2020;0,11345
19/05/2020;0,11345
20/05/2020;0,11345
21/05/2020;0,11345
22/05/2020;0,11345
25/05/2020;0,11345
26/05/2020;0,11345
27/05/2020;0,11345
28/05/2020;0,11345
29/05/2020;0,11345
01/06/2020;0,11345
02/06/2020;0,11345
03/06/2020;0,11345
04/06/2020;0,11345
05/06/2020;0,11345
08/06/2020;0,11345
09/06/2020;0,11345
10/06/2020;0,11345
12/06/2020;0,11345
15/06/2020;0,11345
16/06/2020;0,11345
17/06/2020;0,11345
18/06/2020;0,8442
19/06/2020;0,8442
22/06/2020;0,8442
23/06/2020;0,8442
24/06/2020;0,8442
25/06/2020;0,8442
26/06/2020;0,8442
29/06/2020;0,8442
30/06/2020;0,8442
01/07/2020;0,8442
02/07/2020;0,8442
03/07/2020;0,8442
06/07/2020;0,8442
07/07/2020;0,8442
08/07/2020;0,8442
09/07/2020;0,8442
10/07/2020;0,8442
13/07/2020;0,8442
14/07/2020;0,8442
15/07/2020;0,8442
16/07/2020;0,8442
17/07/2020;0,8442
20/07/2020;0,8442
21/07/2020;0,8442
22/07/2020;0,8442
23/07/2020;0,8442
24/07/2020;0,8442
27/07/2020;0,8442
28/07/2020;0,8442
29/07/2020;0,8442
30/07/2020;0,8442
31/07/2020;0,8442
03/08/2020;0,8442
04/08/2020;0,8442
05/08/2020;0,8442
06/08/2020;0,7469
07/08/2020;0,7469
10/08/2020;0,7469
11/08/2020;0,7469
12/08/2020;0,7469
13/08/2020;0,7469
14/08/2020;0,7469
17/08/2020;0,7469
18/08/2020;0,7469
19/08/2020;0,7469
20/08/2020;0,7469
21/08/2020;0,7469
24/08/2020;0,7469
25/08/2020;0,7469
26/08/2020;0,7469
27/08/2020;0,7469
28/08/2020;0,7469
31/08/2020;0,7469
01/09/2020;0,7469
02/09/2020;0,7469
03/09/2020;0,7469
04/09/2020;0,7469
08/09/2020;0,7469
09/09/2020;0,7469
10/09/2020;0,7469
11/09/2020;0,7469
14/09/2020;0,7469
15/09/2020;0,7469
16/09/2020;0,7469
17/09/2020;0,7469
18/09/2020;0,7469
21/09/2020;0,7469
22/09/2020;0,7469
23/09/2020;0,7469
24/09/2020;0,7469
25/09/2020;0,7469
28/09/2020;0,7469
29/09/2020;0,7469
30/09/2020;0,7469
01/10/2020;0,7469
02/10/2020;0,7469
05/10/2020;0,7469
06/10/2020;0,7469
07/10/2020;0,7469
08/10/2020;0,7469
09/10/2020;0,7469
13/10/2020;0,7469
14/10/2020;0,7469
15/10/2020;0,7469
16/10/2020;0,7469
19/10/2020;0,7469
20/10/2020;0,7469
21/10/2020;0,7469
22/10/2020;0,7469
23/10/2020;0,7469
26/10/2020;0,7469
27/10/2020;0,7469
28/10/2020;0,7469
29/10/2020;0,7469
30/10/2020;0,7469
03/11/2020;0,7469
04/11/2020;0,7469
05/11/2020;0,7469
06/11/2020;0,7469
09/11/2020;0,7469
10/11/2020;0,7469
11/11/2020;0,7469
12/11/2020;0,7469
13/11/2020;0,7469
16/11/2020;0,7469
17/11/2020;0,7469
18/11/2020;0,7469
19/11/2020;0,7469
20/11/2020;0,7469
23/11/2020;0,7469
24/11/2020;0,7469
25/11/2020;0,7469
26/11/2020;0,7469
27/11/2020;0,7469
30/11/2020;0,7469
01/12/2020;0,7469
02/12/2020;0,7469
03/12/2020;0,7469
04/12/2020;0,7469
07/12/2020;0,7469
08/12/2020;0,7469
09/12/2020;0,7469
10/12/2020;0,7469
11/12/2020;0,7469
14/12/2020;0,7469
15/12/2020;0,7469
16/12/2020;0,7469
17/12/2020;0,7469
18/12/2020;0,7469
21/12/2020;0,7469
22/12/2020;0,7469
23/12/2020;0,7469
24/12/2020;0,7469
28/12/2020;0,7469
29/12/2020;0,7469
30/12/2020;0,7469
31/12/2020;0,7469
04/01/2021;0,7469
05/01/2021;0,7469
06/01/2021;0,7469
07/01/2021;0,7469
08/01/2021;0,7469
11/01/2021;0,7469
12/01/2021;0,7469
13/01/2021;0,7469
14/01/2021;0,7469
15/01/2021;0,7469
18/01/2021;0,7469
19/01/2021;0,7469
20/01/2021;0,7469
21/01/2021;0,7469
22/01/2021;0,7469
25/01/2021;0,7469
26/01/2021;0,7469
27/01/2021;0,7469
28/01/2021;0,7469
29/01/2021;0,7469
01/02/2021;0,7469
02/02/2021;0,7469
03/02/2021;0,7469
04/02/2021;0,7469
05/02/2021;0,7469
08/02/2021;0,7469
09/02/2021;0,7469
10/02/2021;0,7469
11/02/2021;0,7469
12/02/2021;0,7469
17/02/2021;0,7469
18/02/2021;0,7469
19/02/2021;0,7469
22/02/2021;0,7469
23/02/2021;0,7469
24/02/2021;0,7469
25/02/2021;0,7469
26/02/2021;0,7469
01/03/2021;0,7469
02/03/2021;0,7469
03/03/2021;0,7469
04/03/2021;0,7469
05/03/2021;0,7469
08/03/2021;0,7469
09/03/2021;0,7469
10/03/2021;0,7469
11/03/2021;0,7469
12/03/2021;0,7469
15/03/2021;0,7469
16/03/2021;0,7469
17/03/2021;0,7469
18/03/2021;0,10379
19/03/2021;0,10379
22/03/2021;0,10379
23/03/2021;0,10379
24/03/2021;0,10379
25/03/2021;0,10379
26/03/2021;0,10379
29/03/2021;0,10379
30/03/2021;0,10379
31/03/2021;0,10379
01/04/2021;0,10379
05/04/2021;0,10379
06/04/2021;0,10379
07/04/2021;0,10379
08/04/2021;0,10379
09/04/2021;0,10379
12/04/2021;0,10379
13/04/2021;0,10379
14/04/2021;0,10379
15/04/2021;0,10379
16/04/2021;0,10379
19/04/2021;0,10379
20/04/2021;0,10379
22/04/2021;0,10379
23/04/2021;0,10379
26/04/2021;0,10379
27/04/2021;0,10379
28/04/2021;0,10379
29/04/2021;0,10379
30/04/2021;0,10379
03/05/2021;0,10379
04/05/2021;0,10379
05/05/2021;0,10379
06/05/2021;0,13269
07/05/2021;0,13269
10/05/2021;0,13269
11/05/2021;0,13269
12/05/2021;0,13269
13/05/2021;0,13269
14/05/2021;0,13269
17/05/2021;0,13269
18/05/2021;0,13269
19/05/2021;0,13269
20/05/2021;0,13269
21/05/2021;0,13269
24/05/2021;0,13269
25/05/2021;0,13269
26/05/2021;0,13269
27/05/2021;0,13269
28/05/2021;0,13269
31/05/2021;0,13269
01/06/2021;0,13269
02/06/2021;0,13269
04/06/2021;0,13269
07/06/2021;0,13269
08/06/2021;0,13269
09/06/2021;0,13269
10/06/2021;0,13269
11/06/2021;0,13269
14/06/2021;0,13269
15/06/2021;0,13269
16/06/2021;0,13269
17/06/2021;0,16137
18/06/2021;0,16137
21/06/2021;0,16137
22/06/2021;0,16137
23/06/2021;0,16137
24/06/2021;0,16137
25/06/2021;0,16137
28/06/2021;0,16137
29/06/2021;0,16137
30/06/2021;0,16137
01/07/2021;0,16137
02/07/2021;0,16137
05/07/2021;0,16137
06/07/2021;0,16137
07/07/2021;0,16137
08/07/2021;0,16137
09/07/2021;0,16137
12/07/2021;0,16137
13/07/2021;0,16137
14/07/2021;0,16137
15/07/2021;0,16137
16/07/2021;0,16137
19/07/2021;0,16137
20/07/2021;0,16137
21/07/2021;0,16137
22/07/2021;0,16137
23/07/2021;0,16137
26/07/2021;0,16137
27/07/2021;0,16137
28/07/2021;0,16137
29/07/2021;0,16137
30/07/2021;0,16137
02/08/2021;0,16137
